	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105
DMRTA2	132.65329	0.15	0.0	0.0325	0.0	0.00083333335	1.425	0.115	0.0015517242	0.0	0.012	0.015161291	0.015	0.04	0.0033333334	0.046666667	0.00953125	0.0042307694	0.015	0.008421052	0.63	0.005090909	0.005	0.0	0.009375	0.0	0.0033333334	0.012	0.0	0.0	17.865	5.4575	0.0425	0.015	0.051	0.002	0.0067647058	0.02	0.033333335	0.0	0.0	9.86	0.0033333334	0.011666667	0.0025	0.0	0.01	0.16606557	0.0075	0.7925	0.0025	1.06125	0.0	0.12125	0.07	0.012	0.015161291	0.007142857	0.0053333333	0.008571428	0.0042307694	0.0015384615	0.046428572	0.14	0.015	0.01	0.0	0.015	0.07333333	0.03	0.042307694	0.0033333334	0.066	0.055	0.0025	0.2	0.002142857	0.0014285714	0.00375	0.095	0.007	0.0	0.01	0.0	0.007777778	0.0	0.012727273	0.037	0.012692308	0.052058823	0.0	0.0	0.095	0.476	0.023333333	0.19642857	0.0025	0.0	0.0	0.00125	0.012	0.0	0.0033333334	0.02	0.0
DMRTC2	139.27438	0.0	0.0	0.0	0.0	0.00041666668	0.0	0.0	0.005172414	0.0	0.02	0.0025806453	0.0	0.0	0.0	0.012222222	0.00015625	0.0	0.015	0.0	0.0	0.015454546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.019	0.002	0.00058823527	0.12166667	0.0	0.0	0.0	0.0	0.0	0.006666667	0.00125	0.0025	0.0	0.00032786885	0.0525	0.045	0.0	0.0	0.0	0.0	0.01	0.02	0.0025806453	0.0	0.0	0.0	0.0	0.0	0.011428571	0.0	0.0	0.0	0.0	0.0	0.006666667	0.02	0.01076923	0.0	0.006	0.0	0.0	5.3546667	0.0	0.0	0.00125	0.8475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03576923	0.012352942	0.0	0.0	0.0	16.965	0.0033333334	0.195	0.00125	0.0	0.0	0.31625	0.008	0.0	0.0	0.05111111	0.0
DUXA	41.36096	0.0	0.0	0.0	0.0	0.00041666668	0.0	0.0	0.00051724137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015625	0.0	0.0	0.0010526315	0.0	0.011454546	0.0	0.0	0.003125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.005	0.0	0.0	0.033333335	0.035	0.0	0.0	0.0	0.0	0.0	0.02125	0.03875	0.0	0.0020491802	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014285714	0.0	0.012307692	0.042857144	0.0	0.016428571	0.0	0.0	0.0	0.023333333	0.0	0.026153846	0.0	0.044	0.0	0.0	0.044666667	0.0	0.06	0.055	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0072727273	0.0	0.0046153846	0.004705882	0.0	0.0	0.0	0.074	0.02	0.03214286	0.0	0.06375	0.0	0.09625	0.0	0.0	0.0	0.013333334	0.0
E2F1	131.26508	39.91	2.2375	19.5025	5.1225	21.8425	31.0	24.82	13.376207	2.31	10.941	28.341614	15.3225	26.615	12.253333	95.568886	27.529531	6.815	4.6375	9.348421	43.01	13.581727	7.74	1.09	42.985626	19.5425	59.093334	31.49	12.388	13.51	48.7525	22.0375	19.31125	22.46	20.462667	1.146	2.8261764	2.105	0.40666667	0.05	0.01	21.855	0.07	0.9266667	0.94875	1.74125	5.585	2.4084427	0.0875	4.3975	0.37375	0.77125	0.346	0.39875	3.4	10.941	28.341614	4.2128572	0.6	0.6478571	6.815	5.95	6.5664287	3.21	10.346429	0.42	0.77944446	1.48375	3.09	1.32	2.7176924	1.9833333	8.5675	4.775	0.1525	5.9206667	0.26357144	1.065	1.07875	1.115	1.415	0.085	0.34666666	0.77625	1.2366667	0.18	4.1522727	3.279	3.2888463	4.743235	0.09	1.11	0.05	7.15	0.11333334	14.520715	0.091875	0.0925	0.0975	2.4225	0.842	0.83	1.4533334	0.49888888	0.02
E2F2	226.61685	21.0	0.045	0.765	0.09	24.0375	4.065	2.985	5.881207	0.1925	1.733	2.0629032	2.4925	2.33	4.62	12.8127775	2.29	0.62846154	0.665	0.2263158	16.675	6.5706363	1.9925	0.255	4.486875	2.065	83.14667	2.734	1.366	3.545	17.5525	3.5025	1.365	2.68	1.8126667	0.26	0.49294117	1.4033333	0.08833333	0.0	0.0	3.3675	0.02	0.31833333	1.95	3.77875	8.21	0.032786883	0.055	4.49	0.0175	2.96125	0.04	0.0225	1.0	1.733	2.0629032	0.6614286	0.12666667	0.115	0.62846154	2.353846	2.4578571	0.0	2.7542858	0.06	3.9466667	2.58375	0.7633333	0.38	0.6676923	4.983333	3.22	2.0375	0.07	1.4053333	0.03785714	0.6992857	1.8025	0.48	0.037	0.07	0.08	0.1925	0.9022222	0.205	1.8513637	1.174	3.426154	1.2711765	0.02	1.94125	0.02	2.663	0.03	41.78643	0.03875	0.0075	0.45875	2.00125	0.155	0.11	0.33666667	0.33333334	0.12
E2F3	222.30754	19.33	8.5	6.615	6.15	29.61875	6.905	28.895	6.4555173	2.795	14.128	14.049355	4.07	16.075	7.68	16.55	7.9373436	6.5673075	5.055	5.573684	19.5225	14.793091	3.55	7.78	16.8275	3.4975	8.13	11.01	2.28	7.705	8.3675	3.2	16.3275	21.675	17.272667	2.62	4.039118	1.27	2.59	0.1	0.075	6.765	0.39833334	1.6766666	1.6125	2.0875	4.155	3.0586066	0.68	2.4475	0.45125	1.305	3.06	1.055	6.32	14.128	14.049355	2.59	2.5626667	2.8664286	6.5673075	9.642307	13.289286	0.83	9.623571	2.42	1.0027778	0.68875	4.19	3.32	3.956923	3.0966666	5.91	2.3275	0.88375	2.3846667	0.7135714	1.0814285	1.73125	0.8925	6.775	1.6275	2.455	1.11	1.0516666	0.11	7.7572727	8.401	5.6296153	3.1938236	0.68125	0.77125	0.195	5.027	1.2516667	10.587143	1.924375	0.18	0.40875	2.76125	0.88	2.7	1.7733333	0.47777778	0.18
E2F4	236.34973	40.04	43.545	174.12	54.35	95.8325	49.655	40.84	61.34638	22.82625	40.131	93.88742	31.0025	51.38	65.84	129.22278	77.451096	22.928461	11.375	133.90631	84.785	75.835	38.34	34.775	176.15125	27.04	55.233334	54.832	19.246	34.415	62.2525	30.18	224.96187	87.265	66.911	31.482	20.88647	15.193334	13.266666	10.695	2.345	9.66	4.1716666	3.995	19.21375	34.71375	28.06	12.221804	15.9725	34.9375	9.605	16.86125	29.741	14.0725	15.06	40.131	93.88742	10.922857	15.066	13.952857	22.928461	35.28077	43.387856	4.12	36.416428	13.07	13.623889	20.7375	27.513334	22.51	24.933077	26.496666	45.2885	17.005	11.2125	23.970667	12.658571	17.972857	26.64875	19.3675	41.07	16.2175	14.361667	6.79625	11.657778	0.965	34.249546	14.656	28.430769	21.81	3.2575	24.86125	0.395	30.132	12.116667	54.97357	12.55	4.1625	7.9175	42.67125	8.936	23.55	19.596666	8.264444	3.185
E2F5	256.78424	11.08	8.4275	4.195	5.28	12.93625	7.9	6.8	11.059138	0.2075	13.39	38.48742	13.8	26.795	6.5266666	24.547222	20.570625	1.065	11.3075	1.6726316	28.3875	13.349455	14.2975	4.245	17.8475	3.3825	42.878334	7.942	3.768	5.395	6.955	0.025	7.198125	43.58	47.301334	1.635	5.04	32.643333	0.69166666	0.0	0.08	11.0825	0.26	28.625	24.24875	21.795	2.775	1.4507377	15.8675	1.21	0.28625	0.42	0.034	0.72125	21.49	13.39	38.48742	3.5057142	1.492	1.9842857	1.065	20.750769	14.758572	0.49	15.073571	1.18	1.0094445	0.4575	3.73	1.7	5.296923	2.09	7.7245	4.655	0.3525	5.358	2.5492857	1.2757143	21.295	1.8925	0.655	0.9275	1.3416667	0.91125	1.4988889	0.225	9.742727	10.821	6.9911537	5.675	0.0425	0.29	0.395	10.933	0.24666667	15.9257145	1.348125	0.265	0.13	11.12875	0.907	2.02	1.4033333	1.0344445	0.11
E2F6	188.61055	15.76	12.08	21.7425	5.2325	19.1625	18.775	10.275	5.9089656	6.41875	8.492	7.463226	6.725	10.375	10.293333	17.887222	22.137032	4.103846	5.315	6.276842	19.835	12.012636	3.5625	6.84	31.163124	9.14	5.3733335	15.342	5.534	6.16	16.715	6.7525	17.401875	9.975	17.88	6.87	7.7658825	3.025	2.6133332	0.18	0.395	12.7125	1.25	1.6016667	3.68375	4.4375	2.57	3.6229508	4.1025	3.125	1.51875	1.85625	11.218	3.8775	6.27	8.492	7.463226	5.867857	5.673333	5.5971427	4.103846	10.28	9.853572	1.66	11.97	4.64	2.6572223	4.025	5.193333	4.16	6.017692	2.6033332	12.786	7.26	2.675	8.140667	3.2885714	4.1935716	4.2225	3.7825	21.546	5.1725	5.6116667	1.9125	2.183889	0.425	6.75	6.26	4.3234615	4.807059	1.27625	2.91375	0.26	13.345	1.3566667	9.125	3.5075	0.605	0.44125	4.41875	1.318	5.0	4.383333	2.0633333	0.37
E2F7	265.17535	12.63	3.7375	0.345	3.07	3.6404166	5.01	14.885	12.474828	2.0475	15.331	9.264516	2.88	11.225	6.7533336	18.05	2.9240625	5.248846	2.73	3.6505263	12.605	4.8006363	0.38	12.155	13.611875	0.89	9.341666	2.436	4.538	5.295	14.4125	6.06	6.9725	17.14	11.2873335	0.042	0.3017647	0.965	0.035	0.0	0.0	9.8825	0.01	0.7	0.35375	0.855	2.295	0.11344262	0.08	0.875	0.015	1.56	0.014	0.0475	2.19	15.331	9.264516	1.5085714	0.079333335	0.13428572	5.248846	3.4461539	2.4392858	0.0	4.897143	0.1	0.39666668	0.41625	0.43	0.35	0.2846154	0.81	2.7055	1.0475	0.01	0.7213333	0.050714284	0.51285714	0.45	0.35	0.055	0.105	0.12833333	0.06875	0.096666664	0.075	1.5331818	1.154	0.70153844	1.3738235	0.0075	0.585	0.035	2.101	0.123333335	9.217857	0.054375	0.005	0.0225	0.77625	0.113	0.1	0.5366667	0.32666665	0.09
E2F8	175.37836	7.855	0.805	0.735	1.675	9.005834	16.655	7.225	12.005344	0.52125	4.012	5.0558066	1.395	5.09	7.3966665	8.106667	4.8796873	0.97615385	1.055	1.1836842	15.18	8.144091	1.695	0.445	14.64625	0.6875	20.72	3.13	2.208	10.5	7.2175	2.35	2.158125	11.29	6.0583334	0.138	0.8670588	1.57	0.05666667	0.09	0.005	1.1125	0.013333334	0.34833333	0.48875	1.57125	6.46	0.02057377	0.01	2.4775	0.0125	1.395	0.154	0.0075	1.99	4.012	5.0558066	3.9121428	1.4106667	1.205	0.97615385	3.6215384	10.837857	0.0	28.652143	1.31	0.7161111	0.56125	0.41666666	0.32	0.3130769	2.2	12.8955	9.46	0.015	0.99333334	0.047142856	1.655	0.9475	0.1	1.471	0.5175	1.845	0.16625	0.385	0.18	6.2513638	0.706	1.3676924	4.0044117	0.0175	0.3825	0.015	2.981	0.02	12.109285	0.0125	0.0025	0.0475	0.91125	0.102	0.13	0.47833332	0.14444445	0.17
E4F1	291.7085	17.9	7.94	107.525	11.795	15.490833	12.985	14.95	17.189484	7.34375	12.53	19.363226	9.85	16.785	23.606667	50.34889	15.775312	7.2815385	3.01	62.563683	23.4125	27.763636	7.0925	11.405	80.41375	17.3725	18.791666	54.144	10.786	17.085	8.6325	16.115	73.01375	18.165	17.109667	7.674	7.599412	3.0816667	12.486667	3.73	1.1625	6.1825	1.6716666	3.3566666	3.44	6.765	11.315	9.234591	10.3675	16.5	3.505	4.2325	9.527	5.50625	12.35	12.53	19.363226	3.3657143	6.038	6.384286	7.2815385	11.666154	13.739285	2.58	11.168571	4.9	4.042778	18.5525	8.53	7.11	8.828462	9.03	11.876	7.13	2.605	9.294666	7.377857	6.339286	4.96375	10.3475	11.479	3.4875	5.335	3.04	4.681667	0.42	9.574546	9.752	10.353461	8.44147	1.0225	13.45875	0.5225	10.62	4.4666667	19.408571	5.755625	1.97375	3.2975	8.4225	3.938	7.8	8.606667	2.9755557	2.86
EBF1	254.59315	0.825	0.525	18.265	1.7825	37.685417	0.0	0.015	11.410518	12.4125	0.191	0.08193548	0.05	0.005	0.04	0.0	0.0	0.051153846	0.105	0.72052634	1.2925	0.057636365	26.435	0.62	0.02125	1.1225	13.583333	0.002	0.158	0.0	5.515	3.635	0.37	0.1	0.119333334	15.943	1.7097058	0.65166664	13.05	8.82	0.205	8.2375	2.6183333	13.125	1.7425	6.4375	1.215	1.6980327	0.8125	0.7475	2.5225	1.41	2.308	4.63625	37.93	0.191	0.08193548	3.5621428	3.834	4.0678573	0.051153846	9.244616	3.9235713	0.44	5.1328573	3.79	0.28388888	3.1525	2.08	3.58	1.9376923	3.23	12.585	8.2925	7.3875	7.9473333	1.2064285	1.6607143	4.17375	2.3325	2.364	2.8775	5.24	0.08375	1.6744444	0.685	2.0972726	18.243	6.915385	2.6791177	6.05	1.915	0.065	6.757	5.7183332	3.192857	3.00125	2.635	0.5425	0.6525	0.844	3.08	7.8233333	4.673333	1.495
EGR1	145.5737	37.55	16.7325	10.2675	4.1475	39.160416	36.55	40.38	3.4713793	66.4825	17.165	22.701935	1.0275	36.525	252.00333	4.625	14.064062	41.92577	1.6125	138.3758	13.1875	33.095547	0.31	59.405	82.94688	0.19	0.19333333	8.194	0.392	11.845	0.89	1.41	31.2075	15.37	9.799	146.678	18.065294	73.361664	83.738335	39.42	3.1	3.3725	1.8283334	1.725	87.78125	22.075	15.275	7.544836	234.5625	23.5175	3.24	5.8325	2.537	3.1175	9.52	17.165	22.701935	34.512142	10.051333	18.447144	41.92577	96.25616	151.17786	1.3	228.11214	2.83	13.082222	18.13625	25.796667	26.46	23.992308	14.67	191.517	116.81	18.11625	89.03	15.83	7.6885715	54.54625	3.2125	44.912	11.64	25.07	7.79	12.782222	0.555	91.12273	17.437	32.071537	127.78236	0.64375	73.14625	0.08	43.914	15.84	81.08857	5.498125	0.365	3.35	463.85126	13.503	29.56	115.57333	5.457778	4.87
EGR2	152.02904	7.56	0.3675	0.0525	1.025	15.755834	0.2	0.365	15.697586	0.76	0.969	0.8635484	0.1525	1.29	5.9466667	0.8277778	0.0575	0.15038462	1.1675	1.2094737	0.8525	0.09481818	0.06	0.265	5.2075	0.0825	0.05666667	0.236	0.496	0.16	0.4375	0.0	0.21125	0.975	0.458	2.873	0.45882353	7.42	2.0066667	1.125	0.115	0.265	0.25833333	0.1	4.595	0.61625	1.585	0.63893443	0.7775	0.2875	0.12625	0.10375	0.127	0.1525	0.34	0.969	0.8635484	0.3807143	0.9	1.77	0.15038462	0.7784615	1.3907143	0.04	2.77	0.19	0.15666667	5.41375	8.886666	15.44	3.0869231	0.71666664	2.2355	0.9175	0.7175	1.9186667	0.37857142	0.36285713	1.4775	0.68	0.33	1.0325	2.2533333	0.175	0.34444445	0.095	1.1272727	1.036	2.6042309	0.75147057	0.0925	6.9875	0.0175	3.625	0.24166666	10.104285	1.08	1.11	0.035	8.7575	3.278	14.31	1.565	0.19555555	0.13
EGR3	199.84616	1.285	0.58	0.26	0.12	1.7783333	0.205	0.455	7.040862	1.6475	0.077	0.16903226	0.5175	2.76	3.4566667	0.39055556	0.0534375	0.18884616	0.045	12.303684	0.805	0.21254545	0.075	0.095	40.710625	0.03	0.085	0.084	0.208	0.43	0.015	0.015	0.456875	0.45	0.19466667	13.046	1.1826471	0.75	7.943333	7.625	0.18	3.9275	0.27	0.31833333	2.38375	0.5875	1.035	9.981476	1.76	0.3825	0.39875	0.1125	0.493	0.2075	0.1	0.077	0.16903226	0.30214286	1.1493334	2.455	0.18884616	0.4176923	1.6328571	1.11	2.1557143	0.16	0.034444444	22.16875	0.67	1.0	1.3607693	1.24	2.934	1.125	1.89125	2.7946668	0.5985714	0.29285714	1.3975	0.84	1.242	1.055	2.43	0.08375	0.44333333	0.095	0.63045454	1.327	1.28	1.0944117	0.13	19.49375	0.07	2.138	3.135	8.189285	0.236875	0.2125	0.43	6.11	0.816	0.97	2.6266668	0.31333333	0.42
EGR4	97.84616	0.9	0.0	0.04	0.0	0.0	0.085	0.31	0.01724138	0.015	0.032	0.04064516	0.005	0.475	0.26333332	0.0044444446	0.01765625	0.0	0.005	0.13263159	0.4875	0.0016363637	0.12	0.125	1.326875	0.0	0.0033333334	0.3	0.0	0.0	0.0	0.0	0.01375	0.155	0.039666668	0.05	0.0135294115	0.17833333	0.0	0.0	0.0	0.245	0.0	0.018333333	0.1325	0.01	0.005	1.327459	2.3525	0.01	0.0025	0.015	0.0	0.0	0.06	0.032	0.04064516	0.0	0.0013333333	0.015	0.0	0.006153846	0.015714286	0.27	0.012857143	0.0	0.0044444446	0.0025	0.023333333	0.0	0.042307694	0.0033333334	0.011	0.005	0.0	0.079333335	0.07357143	0.002142857	0.035	1.005	0.002	0.02	0.07333333	0.0	0.006666667	0.0	0.010454546	0.011	0.012307692	0.015882352	0.0	0.01	0.0	1.956	0.0	0.11357143	0.0	0.0	0.0	0.285	0.003	0.0	0.016666668	0.0	0.0
EHF	181.29329	0.06	0.05	0.02	0.005	0.00625	0.07	121.645	0.028965518	0.0	0.0	0.0077419356	0.2	0.01	38.1	1.2905556	0.12484375	0.015384615	0.02	0.017894737	0.02	0.17454545	0.0	0.335	0.5125	1.3975	0.0	0.27	7.562	44.13	0.0	0.035	0.00375	0.01	0.04366667	3.099	0.26088235	0.3	0.32166666	0.0	1.1075	0.21	10.305	0.03	1.6675	2.99125	118.035	0.42295083	14.95	80.57	0.025	73.9975	0.078	3.095	0.0	0.0	0.0077419356	0.17142858	0.26733333	0.41642857	0.015384615	13.033077	19.970715	0.16	9.982857	0.58	0.9577778	28.75875	31.793333	20.49	22.323847	94.50667	1.1955	0.0075	0.025	3.6846666	7.4457145	0.06928571	1.87125	50.9725	0.084	0.1875	0.08833333	0.5175	8.585	0.015	30.67909	0.435	0.5080769	11.4205885	0.0225	30.44875	0.01	1.867	0.01	0.58428574	3.579375	0.0025	16.26	0.47875	7.154	12.59	8.068334	4.948889	4.955
ELF1	206.09767	13.99	34.3925	1.9625	31.9625	138.42833	48.94	26.41	37.43776	18.24375	3.949	5.2767744	5.405	6.92	12.006667	9.738334	24.1725	12.435385	1.8275	11.37421	59.775	18.335455	20.435	32.53	43.45125	3.1175	72.075	15.07	4.446	14.46	14.58	3.285	7.665625	10.095	10.863667	24.475	11.720294	25.626667	11.77	9.925	1.8075	8.345	6.443333	3.2716668	31.50625	27.195	37.295	5.989754	21.61	18.1475	8.36	15.59	11.742	15.42625	6.06	3.949	5.2767744	11.287857	12.890667	13.672857	12.435385	28.19923	62.95357	1.42	34.637142	11.31	9.912778	37.7	31.84	33.21	28.273846	34.64	25.9495	11.8775	9.57625	17.474667	9.372857	22.523571	24.8925	23.31	11.841	12.42	13.713333	9.01	8.642222	1.38	53.16591	9.443	27.625	20.708529	5.29875	26.915	0.2475	21.307	9.338333	93.55143	16.03375	4.035	5.02375	33.24625	10.175	28.15	22.281666	8.472222	4.16
ELF2	362.41397	20.4	28.4225	7.855	21.4525	26.801666	23.145	11.03	14.424655	8.71125	17.148	20.846775	10.4925	22.07	10.643333	28.563889	15.955781	7.359231	4.65	7.996316	18.2175	22.179363	6.845	11.515	22.895	6.2125	22.196667	7.592	4.192	12.985	24.2525	12.805	16.801874	25.06	17.221333	11.147	10.931471	14.613334	14.591666	1.915	1.1375	16.3025	4.3416667	9.373333	17.16125	13.97375	13.59	16.89459	11.3125	8.7775	5.89	4.935	9.235	11.90625	23.53	17.148	20.846775	20.187143	11.121333	12.807143	7.359231	31.014616	33.333572	3.32	46.635	12.33	8.193889	14.08625	15.196667	18.29	18.27077	17.89	28.2095	20.3575	5.3325	20.835333	6.8178573	12.596429	11.31625	11.31	12.96	8.465	12.205	5.345	7.6283336	3.0875	23.623636	16.052	17.587307	17.646765	3.38125	12.2825	2.585	40.164	10.27	35.205	9.51375	2.45125	2.47125	19.83875	5.337	16.64	17.888334	9.766666	1.81
ELF3	501.40918	0.245	0.34	0.0575	0.095	0.41875	52.655	361.125	4.386724	0.015	5.887	14.899033	1.455	4.45	210.09334	50.129444	19.031406	0.018461538	0.625	0.9063158	0.1325	0.35954547	0.13	0.09	300.045	0.015	0.065	71.008	87.536	130.985	0.25	0.01	0.385625	10.245	3.898	44.177	0.096764706	7.9966664	1.7066667	0.09	6.25	0.835	28.036667	0.045	11.6975	20.79125	376.265	0.17786886	57.825	377.12	0.14	64.3825	0.392	3.16625	0.04	5.887	14.899033	0.17571428	1.8806666	8.282143	0.018461538	51.95769	317.57785	0.02	52.53	0.22	13.763889	8.8075	50.02667	25.1	57.25308	418.84668	22.7345	0.09	0.72	17.088	73.36357	35.319286	14.2125	25.025	0.253	0.23	0.24666667	25.8125	58.485	0.01	302.00726	0.258	1.4515384	256.485	0.0125	6.0025	0.025	2.973	0.27333334	2.9578571	2.564375	0.0125	53.3425	57.49625	18.066	21.72	40.238335	3.6255555	11.73
ELF4	199.58424	4.01	14.51	0.3925	21.935	21.565416	10.825	9.395	14.704138	4.50125	0.483	1.0254838	1.125	0.32	13.483334	20.568333	1.640625	10.121154	0.105	9.568948	10.11	19.818	8.2875	8.995	23.705	2.15	7.9566665	23.116	4.976	24.38	2.435	8.3375	5.310625	1.54	0.78933334	4.943	4.488529	17.77	2.495	2.415	0.095	3.315	0.43666667	0.105	32.075	15.09625	14.18	0.48204917	3.415	3.84	0.9675	2.51375	0.466	1.6275	0.33	0.483	1.0254838	0.9635714	1.8266667	1.4778571	10.121154	6.059231	24.985	0.11	8.257857	0.79	0.5233333	4.78625	8.516666	8.17	6.236154	16.293333	9.1285	4.1725	1.69875	7.234	0.7221429	5.7564287	23.465	1.3225	0.78	1.65	1.2233334	0.5075	2.5177777	0.16	18.33909	1.15	6.9676924	7.5408826	0.54125	5.75875	0.01	6.268	1.605	17.24643	0.690625	0.44	2.145	38.3425	2.828	8.23	4.608333	1.4	0.605
ELF5	184.68877	0.0	0.0	0.04	0.0	0.015416667	0.08	0.0	0.0018965517	0.0	0.002	0.0022580645	0.0	0.0	0.11666667	0.032222223	0.72609377	0.0	0.0	0.0	0.0	0.0017272728	0.0	0.0	0.90625	0.0	0.0	0.066	0.014	0.215	0.005	0.0	0.0025	0.0	0.0023333333	0.227	0.014705882	0.18333334	0.005	0.0	0.0	0.02	0.93333334	0.0	0.10875	1.76	0.0	0.01590164	0.01	0.3025	0.0	0.18375	0.0	0.1075	0.0	0.002	0.0022580645	0.0	0.0	0.0064285714	0.0	37.29	0.235	0.0	19.957857	0.0	0.03	2.91	5.9866667	6.83	7.3676925	0.0	0.294	0.01	0.0025	0.040666666	0.055714287	0.765	0.99125	0.2625	0.002	0.0	0.0	0.0275	0.0	0.035	0.05409091	0.105	0.47423077	0.28970587	0.0125	2.8775	0.005	0.216	0.0	0.51785713	0.32	0.0	0.0	1.65625	1.386	3.7	1.625	0.0	0.01
ELK1	166.15233	22.44	18.735	25.23	17.2375	23.3575	12.69	17.955	19.616379	21.08375	11.511	18.041613	9.3175	22.605	21.16	37.006668	6.93625	17.656923	4.29	14.36	31.915	24.420273	7.0825	20.985	13.785	12.7275	14.395	38.036	14.198	8.29	16.27	10.9775	13.05	26.41	21.365334	10.922	13.857647	7.4816666	7.1316667	13.775	0.295	28.0725	1.0716667	4.576667	6.79375	7.065	11.29	27.708279	4.915	7.265	2.925	3.6025	16.48	4.68125	18.83	11.511	18.041613	5.6907144	14.334666	11.572143	17.656923	15.319231	18.477858	6.51	17.745	7.75	6.045	7.60125	12.796667	8.58	10.98	9.4366665	16.0695	11.86	2.77	41.542	3.0642858	12.559286	7.6925	12.405	21.474	6.6475	8.798333	5.80125	3.6644444	0.275	12.284546	9.422	8.9253845	6.922941	0.91375	7.35875	0.3525	45.379	3.3266666	17.440714	2.689375	1.22625	1.06625	4.64	2.908	10.09	8.8116665	2.9755557	0.77
ELK3	236.68643	27.075	23.36	19.5725	14.8775	31.11	0.265	12.465	1.325862	21.295	3.834	7.7596774	7.175	4.44	28.813334	14.5633335	2.491875	25.290384	2.735	12.413684	2.6625	1.926091	0.405	21.575	6.9625	1.8375	1.0733334	15.846	4.066	21.555	14.77	6.9575	18.699375	6.665	8.894	14.352	5.6914706	14.04	9.3116665	1.995	0.23	1.07	0.95666665	1.575	10.2	14.565	3.74	1.7695082	6.255	11.315	2.6325	8.05625	1.546	4.5575	6.58	3.834	7.7596774	11.116428	7.9366665	8.687857	25.290384	25.25154	21.338572	0.84	52.060715	6.21	2.1427777	3.095	13.786667	9.84	18.09	4.346667	27.5155	12.78	3.82625	10.059334	2.48	2.1614287	11.2375	2.58	5.314	4.115	7.5333333	2.04875	3.0161111	0.505	10.713636	6.013	21.799616	10.675	1.4475	2.82125	0.06	12.997	3.5016668	27.845	3.680625	0.79875	0.325	9.0225	3.256	14.25	10.443334	5.5044446	1.615
ELK4	504.42575	16.995	6.805	4.8925	3.71	10.204166	6.83	48.32	12.341724	2.55375	6.394	5.8396773	4.6075	13.68	9.476666	22.312778	9.2951565	13.706154	1.4075	2.626842	8.9575	5.409818	11.0775	43.945	13.759375	6.76	21.771667	7.756	7.216	19.03	13.4225	5.355	3.298125	12.31	7.7826667	3.759	4.4485292	4.74	9.388333	2.25	0.5925	2.275	1.4866667	1.82	6.9575	7.38	13.26	12.118525	6.1825	2.7725	2.205	3.50625	6.229	4.75125	6.23	6.394	5.8396773	6.047143	10.632667	13.006429	13.706154	13.223846	12.726429	0.75	18.778572	13.19	3.0205555	9.285	20.803333	21.26	5.6776924	17.823334	11.762	5.665	2.82	11.468667	5.5485716	7.6257143	5.875	12.0025	14.012	5.005	10.925	8.20625	2.182778	0.655	8.6	4.86	13.811923	6.1532354	1.76625	10.255	0.2275	11.06	3.0416667	19.70143	3.56375	1.15125	1.0575	5.63375	5.322	24.7	4.5583334	5.24	0.98
EMX1	226.77931	0.005	0.0	0.03	0.0	0.00083333335	1.35	0.07	3.2325861	0.0	3.055	2.1038709	0.255	0.31	0.89666665	0.00055555557	1.9807812	0.0011538462	0.32	0.014736842	5.6375	0.076545455	0.0	0.005	0.824375	0.0	0.0	0.242	0.0	0.01	0.0	0.0	0.0	1.73	3.625	0.489	0.02	0.05666667	0.0	0.0	0.01	2.78	0.013333334	0.18166667	0.07125	0.45125	0.6	10.659017	2.0475	0.04	0.0	0.01	0.004	0.01	0.0	3.055	2.1038709	0.004285714	0.0	0.017142856	0.0011538462	38.94923	0.28928572	1.44	0.10428572	0.0	0.031111112	0.02	0.06333333	0.04	0.006153846	0.72	0.0265	0.06	0.09875	2.0613334	0.058571428	0.01	0.21	0.8675	0.011	0.04	0.041666668	0.06	0.104444444	0.0	0.26818183	0.12	0.005769231	0.09852941	0.0	0.02	0.36	2.341	0.0	0.31	0.09375	0.0	0.105	0.07375	0.003	0.0	0.0	0.028888889	0.0
