	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105
ARID5A	151.50917	3.01	3.2375	0.31	12.065	27.874584	1.365	4.35	34.636898	8.59375	2.735	2.492258	6.6075	1.895	4.6866665	2.9055555	5.4285936	4.49	1.27	5.2057896	13.665	4.117273	0.575	1.35	2.525	3.5975	2.2933333	20.416	1.648	2.39	6.0425	2.86	3.066875	3.805	3.1556666	18.068	2.8535295	2.5216668	54.913334	25.12	0.3225	3.0825	3.9833333	1.07	5.35875	4.485	4.485	6.2540164	5.585	6.11	9.475	1.35	15.853	11.3375	4.17	2.735	2.492258	3.4264286	12.814667	19.452143	4.49	3.8361537	6.7235713	2.77	5.6085715	6.3	5.391111	5.74	10.733334	9.37	14.549231	3.84	12.963	8.765	4.74125	7.950667	3.1235714	1.5185714	5.6375	7.34	16.872	9.02	9.351666	5.285	6.2272224	0.3525	4.313182	3.514	13.607693	3.2888236	1.1225	3.66875	0.06	6.927	22.578333	26.210714	3.3425	1.755	1.43875	12.48375	4.418	11.32	14.371667	3.5022223	1.39
ARID5B	336.87576	13.54	108.205	4.25	60.4725	14.80125	73.51	4.075	3.3648276	33.37125	0.625	0.42419356	0.3675	0.035	1.0233333	6.965	5.8015623	46.002308	0.26	25.287369	12.755	0.65572727	0.6925	4.835	7.045625	5.06	17.526667	6.378	7.486	3.39	4.635	8.88	8.68875	0.32	0.7543333	17.367	5.427647	8.381667	15.5616665	8.71	0.5575	2.3225	6.86	2.8916667	14.9425	21.82625	8.925	14.011722	7.365	4.77	7.72	5.79625	94.105	12.67375	13.08	0.625	0.42419356	5.6085715	8.534	11.635715	46.002308	30.725384	17.772858	7.75	29.167856	5.0	1.5766667	22.0975	11.393333	10.09	9.543846	9.203333	11.142	5.115	12.35875	10.771334	1.865	24.245	18.12125	15.3325	46.236	11.8925	7.238333	1.68375	4.7505555	0.795	11.739091	4.424	8.921538	6.4947057	6.0475	16.505	0.28	13.647	7.6	13.26	3.31875	2.76625	1.57	21.595	3.504	11.79	10.036667	5.351111	3.085
ARNT	278.8996	15.975	30.32	11.6125	28.6975	20.221666	15.225	12.285	16.895863	14.13125	8.8	22.661936	12.8075	9.555	17.163334	35.892776	13.643594	9.183077	3.625	24.573685	20.9475	17.900272	7.9875	17.405	33.063126	3.8925	9.888333	19.39	4.62	14.065	11.605	14.305	14.175625	24.095	20.138	14.184	12.069706	10.97	10.54	1.225	0.8475	15.525	3.7583334	4.6	17.7625	23.575	13.825	11.25459	7.5875	6.6425	4.335	5.5625	16.328	9.66625	18.77	8.8	22.661936	12.480714	10.250667	11.825714	9.183077	28.94	28.727858	2.13	51.1	9.64	8.663889	12.82625	17.4	17.84	16.28	16.513334	23.4485	13.7075	6.14375	26.154	5.805	17.654285	18.45	8.2625	15.601	8.9425	11.015	8.29625	5.363333	1.1	20.946363	9.514	14.025	13.524412	3.6825	11.0775	0.49	28.504	7.0383334	21.017143	7.55875	2.69125	3.00625	18.36375	6.249	18.57	13.726666	7.31	2.92
ARNT2	331.0663	0.81	32.235	3.555	29.48	8.117084	0.065	1.045	0.08879311	5.43875	3.61	6.1903224	0.6175	4.565	1.63	3.078889	0.8575	2.988077	1.625	10.463158	0.015	0.0058181817	0.0	0.855	7.001875	2.59	0.0	9.214	0.05	1.205	1.045	4.0375	13.243125	9.64	4.912	0.782	1.0626471	1.4766667	1.5616666	0.6	0.185	26.195	0.395	10.93	3.55375	0.83625	0.83	71.25213	5.9325	0.4875	1.10375	0.57625	2.909	2.11625	48.57	3.61	6.1903224	3.01	1.442	1.4485714	2.988077	29.116922	7.6885715	11.42	23.331429	1.31	0.16388889	1.4025	4.4166665	3.87	2.6515384	1.9333333	5.7835	2.7025	0.46625	7.714667	2.2842858	0.7721428	1.7625	4.8525	2.68	1.74	2.655	0.17875	1.0105555	0.0825	4.4245453	43.851	1.8996154	3.6517646	0.1175	0.945	1.8575	20.288	1.3283334	1.4292858	1.816875	0.315	0.1325	3.08875	1.295	4.46	2.4166667	1.5422223	0.325
ARNTL	285.08548	1.585	9.45	2.4475	5.1	18.387083	7.795	4.445	16.591034	15.5375	3.239	6.859032	1.21	1.475	6.116667	14.930555	3.5942187	3.0673077	1.015	6.7421055	23.8775	0.9539091	0.0	33.535	7.658125	5.4675	0.0	4.38	2.042	5.71	5.8475	7.225	7.29125	6.085	4.8493333	14.012	12.429117	10.185	5.713333	1.49	0.91	11.7825	2.7616668	7.8433332	5.37625	7.4425	4.84	21.179508	10.5075	6.245	3.51375	5.1	14.762	6.79125	26.79	3.239	6.859032	4.5985713	4.5693336	4.057857	3.0673077	7.7207694	5.5257144	1.85	8.790714	2.57	11.376667	20.37125	10.816667	8.52	11.174616	11.406667	5.133	4.83	5.68875	9.142	5.032857	3.3242857	5.9125	5.5175	15.149	5.965	5.25	5.79375	3.8038888	0.63	5.2122726	8.825	9.70577	3.1205883	3.18875	21.29375	0.4975	13.23	4.645	30.52143	9.414375	2.3425	1.61125	7.335	3.683	6.49	4.4583335	2.8555555	1.795
ARNTL2	301.19275	4.725	20.8675	0.0875	4.9125	1.57	15.565	29.005	17.141207	7.1075	4.636	5.7141933	3.755	10.45	5.653333	7.991667	13.862344	12.944615	1.6125	4.2552633	10.04	0.16772728	0.0	7.945	5.71	6.185	0.018333333	11.744	29.436	31.44	4.7325	15.405	3.97875	7.03	6.8943334	1.597	0.33441177	1.6816666	2.6616666	0.53	0.115	4.775	0.093333334	0.8833333	2.9825	2.35625	4.225	7.2656555	0.575	20.9225	0.61	10.9075	0.128	1.5225	2.69	4.636	5.7141933	1.4828571	1.166	1.1992857	12.944615	2.7276924	3.8107142	0.41	2.9964285	0.55	1.1522223	5.685	3.0633333	0.87	2.1638463	1.1733333	2.352	0.5025	0.27625	1.4286667	0.93	6.822143	2.015	0.45	0.139	0.28	0.5466667	2.2225	0.70166665	0.07	2.8172727	6.618	0.68923074	3.8732352	0.32	3.14375	0.76	2.459	0.975	6.1535716	0.141875	0.0575	0.07	1.88	0.492	2.38	1.4533334	0.42	0.4
ARX	118.65644	17.605	0.0	0.03	0.0	0.0016666667	0.22	0.01	0.0013793104	0.0	0.026	0.017096775	0.01	0.15	0.10333333	0.0011111111	0.00015625	0.0	0.0025	0.0010526315	0.6125	0.008363636	0.005	0.025	0.435625	0.0	0.01	0.038	0.004	0.0	0.0	0.0	0.034375	0.365	0.006666667	0.091	0.02382353	0.011666667	0.0	0.0	0.02	0.9425	0.0033333334	0.021666666	0.12875	0.04125	0.295	3.4100819	5.7325	0.005	0.0	0.0	1.055	0.0	0.02	0.026	0.017096775	0.0	0.00066666666	0.004285714	0.0	0.04	1.1185714	0.37	0.107857145	0.0	0.0	0.005	0.15333334	0.18	0.14846154	0.22	2.7845	1.645	0.0	25.776667	1.0442857	0.017857144	0.17	0.8325	2.013	0.0	0.0016666667	0.0	0.008888889	0.02	0.5913636	0.241	0.093461536	0.49088237	0.0	0.0175	0.19	11.461	0.0	0.028571429	0.02375	0.0	0.0025	0.78875	0.028	0.0	0.0033333334	0.046666667	0.0
ASCL1	101.61493	0.0	0.0	20.7325	0.035	0.024166666	0.0	0.03	15.913965	0.005	0.12	0.058064517	0.01	0.05	0.01	0.0011111111	0.00875	0.0034615383	0.24	0.0010526315	0.0	0.10454545	0.0	0.0	2.450625	0.0	0.0	0.02	0.0	0.0	0.0	0.0	2.081875	0.175	0.043	0.016	0.24176471	0.15166667	0.006666667	0.0	0.0	207.53	0.0033333334	11.846666	0.245	0.10125	0.135	3.3262296	1.0725	0.01	0.005	0.0	0.012	0.025	62.3	0.12	0.058064517	0.0057142857	0.0	0.0007142857	0.0034615383	0.06153846	6.2535715	4.67	2.1785715	0.0	0.027222222	0.005	0.06	0.05	0.2	0.033333335	0.2215	0.08	0.0275	2.284	0.05642857	0.060714286	0.1225	0.085	0.008	0.0	0.0	0.1775	0.036666665	0.0	3.0795455	11.394	0.015384615	2.757647	0.0	0.0	0.285	0.148	0.0	17.498571	0.135625	0.02	0.0025	0.05125	0.018	0.02	0.03	0.057777777	0.0
ASCL2	76.13027	0.0	0.005	0.0	0.01	0.065	12.905	0.0	0.0	0.0125	0.433	0.22387096	0.14	0.16	0.0033333334	0.0	0.0215625	0.0	0.1	0.015263158	0.265	0.3339091	0.0	0.01	7.53375	0.0	0.005	0.0	0.168	0.0	0.0	0.0	0.0	0.11	0.132	0.281	0.10970588	12.71	0.108333334	0.0	0.045	2.1875	0.16333333	0.69166666	42.815	4.755	4.23	0.14131148	1.7725	0.835	0.0275	0.50875	0.006	0.02	3.23	0.433	0.22387096	0.02	0.097333334	0.14642857	0.0	2.1753845	9.689285	0.08	0.70214283	0.03	0.14555556	8.965	0.76	0.58	0.7346154	2.36	0.378	0.1025	0.115	0.23866667	0.71428573	1.0628572	31.47875	1.2125	0.024	0.065	0.1	0.17875	0.49666667	0.005	6.890455	0.209	0.7380769	2.9205883	0.03625	3.7775	0.035	0.744	0.06666667	2.2557142	0.106875	0.12	0.27625	66.405	0.222	0.77	0.26833335	0.13555555	0.15
ATF1	150.11864	18.515	49.8675	22.76	57.8375	37.99875	22.085	9.63	21.512241	13.6325	11.359	20.934193	8.8775	21.355	28.956667	116.09055	17.476562	12.968462	5.18	8.386842	33.32	27.93609	18.8975	33.58	28.755625	19.0325	25.638334	30.112	12.498	14.625	24.2525	13.1225	16.643126	39.195	29.034666	9.328	12.719118	13.621667	5.8516665	0.64	0.29	7.335	1.4783334	3.2183332	19.24875	14.96125	17.4	6.169672	8.9375	5.395	2.58	2.765	9.784	4.76125	12.72	11.359	20.934193	9.267143	6.576667	8.53	12.968462	23.823076	25.953571	1.13	30.93	10.3	5.0755553	6.1775	16.263334	15.92	17.033077	14.743333	20.6405	15.555	1.91625	14.166	4.1264286	13.676429	15.7125	4.64	22.46	3.5825	7.4966664	4.20625	4.038889	1.16	22.804546	7.779	11.310769	10.5732355	1.3675	4.775	0.61	15.087	1.77	34.91714	3.068125	0.8775	0.845	16.405	4.047	12.73	9.505	4.16	0.725
